unnamed_1,bang_gia,unnamed_2,unnamed_3,unnamed_4,unnamed_5,unnamed_6,bang_gia_raw,name_normalized,price_vnd
,,,,,,,"BEST SELLER: NETFLIX, CHATGPT",,
,,,GÓI,SỐ THÁNG,GIÁ,LOẠI,SẢN PHẨM,,
,,,,,,,APP AI,,
,,ChatGPT,Plus,1 Tháng,320.000₫,CHÍNH CHỦ / CẤP,,,
,,,,1  Tháng,39.000 - 69.000,DÙNG CHUNG CẤP,,,
,,,Pro,1 Tháng,LIÊN HỆ,CHÍNH CHỦ / CẤP,,,
,,Claude,Pro,1 Tháng,LIÊN HỆ,CHÍNH CHỦ / CẤP,,,
,,,,1 Tháng,LIÊN HỆ,SLOT,,,
,,Gemini,Ultra,1 Tháng,350.000₫,CHÍNH CHỦ / CẤP,,,
,,,,1 Tháng,LIÊN HỆ,ACC CẤP,,,
,,Gemini,Advanced (pro là 1),1 Tháng,30.000₫,CẤP ACC,,,
,,,,3 Tháng,50.000₫,CHÍNH CHỦ,,,
,,,,6 Tháng,80.000₫,CHÍNH CHỦ,,,
,,,,12 Tháng,100.000₫,CHÍNH CHỦ,,,
,,Gamma,Plus,1 Tháng,120.000₫,CHÍNH CHỦ / CẤP,,,
,,,Pro,1 Tháng,180.000₫,CHÍNH CHỦ / CẤP,,,
,,,Pro slot,1 tháng,79.000₫,CẤP ACC,,,
,,Poe,,1 Tháng,LIÊN HỆ,CHÍNH CHỦ,,,
,,,,12 Tháng,LIÊN HỆ,CHÍNH CHỦ,,,
,,Perplexity,Professional,1 Tháng,LIÊN HỆ,DÙNG CHUNG,,,
,,,,12 Tháng,500.000₫,CHÍNH CHỦ,,,
,,Github Copilot,Pro 20$,1 Tháng,LIÊN HỆ,CHÍNH CHỦ,,,
,,Suno,10$,1 Tháng,140.000₫,CHÍNH CHỦ,,,
,,,30$,1 Tháng,490.000₫,CHÍNH CHỦ,,,
,,D-ID,Lite,1 Tháng,LIÊN HỆ,CẤP ACC,,,
,,,Pro,1 Tháng,LIÊN HỆ,CẤP ACC,,,
,,Copy,Pro 49$,1 Tháng,LIÊN HỆ,CẤP ACC,,,
,,Natural Reader,Plus,1 Tháng,LIÊN HỆ,CHÍNH CHỦ,,,
,,,Premium,1 Tháng,LIÊN HỆ,CHÍNH CHỦ,,,
,,Leonardo,Apprentice 12$,1 Tháng,LIÊN HỆ,CHÍNH CHỦ / CẤP,,,
,,,Artisan 30$,1 Tháng,LIÊN HỆ,CHÍNH CHỦ / CẤP,,,
,,,Maestro 60$,1 Tháng,LIÊN HỆ,CHÍNH CHỦ / CẤP,,,
,,Monica,Unlimited,1 Tháng,360.000₫,CHÍNH CHỦ / CẤP,,,
,,,Pro,,140.000₫,CHÍNH CHỦ / CẤP,,,
,,,Unlimited slot,,LIÊN HỆ,CẤP DÙNG CHUNG,,,
,,Outfitchanger,Advanced 29$,1 Tháng,LIÊN HỆ,CHÍNH CHỦ,,,
,,Sider,Basic 10$,1 Tháng,LIÊN HỆ,CẤP ACC,,,
,,,Pro 20$,,LIÊN HỆ,CẤP ACC,,,
,,,Unlimited 30$,,LIÊN HỆ,CẤP ACC,,,
,,Beautiful,Pro 12$,1 Tháng,LIÊN HỆ,CẤP ACC,,,
,,Kling,Standard,1 Tháng,90.000₫,CẤP,,,
,,,Pro,,470.000₫,CHÍNH CHỦ / CẤP,,,
,,,Premier,,1.200.000₫,CHÍNH CHỦ / CẤP,,,
,,Midjourney,30$,1 Tháng,240.000₫,CẤP ACC,,,
,,Runway,Standard,1 Tháng,250.000₫,CHÍNH CHỦ / CẤP,,,
